INFO 2026-04-05 13:37:45,306 autoreload Watching for file changes with StatReloader
INFO 2026-04-05 13:38:01,167 autoreload D:\GitAGThaiTechZone\myAPP-Django-AIOTs\myproject\settings.py changed, reloading.
INFO 2026-04-05 13:38:04,636 autoreload Watching for file changes with StatReloader
INFO 2026-04-05 13:46:06,283 autoreload Watching for file changes with StatReloader
INFO 2026-04-05 13:49:33,800 autoreload Watching for file changes with StatReloader
INFO 2026-04-05 13:50:24,372 mqtt_handler Connecting to MQTT broker at broker.hivemq.com:1883
INFO 2026-04-05 13:50:24,651 mqtt_handler Starting MQTT client loop
INFO 2026-04-05 13:50:24,850 mqtt_handler Connected to MQTT broker successfully
INFO 2026-04-05 13:50:24,851 mqtt_handler Subscribed to smartfarm topics
INFO 2026-04-05 13:50:25,256 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-WEERADEJ/status
INFO 2026-04-05 13:50:25,282 mqtt_handler Created device: ESP32-FARM-001-WEERADEJ with status offline
INFO 2026-04-05 13:50:25,284 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-Jan01/status
INFO 2026-04-05 13:50:25,292 mqtt_handler Created device: ESP32-FARM-Jan01 with status offline
INFO 2026-04-05 13:50:25,293 mqtt_handler Received message on topic: smartfarm/KOTA-FARM-001/status
INFO 2026-04-05 13:50:25,299 mqtt_handler Created device: KOTA-FARM-001 with status offline
INFO 2026-04-05 13:50:25,302 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-BENJA-BENZ/status
INFO 2026-04-05 13:50:25,308 mqtt_handler Created device: ESP32-FARM-001-BENJA-BENZ with status offline
INFO 2026-04-05 13:50:25,309 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-TK2468/status
INFO 2026-04-05 13:50:25,316 mqtt_handler Created device: ESP32-FARM-001-TK2468 with status offline
INFO 2026-04-05 13:50:25,319 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-000-Anekwong/status
INFO 2026-04-05 13:50:25,330 mqtt_handler Created device: ESP32-FARM-000-Anekwong with status offline
INFO 2026-04-05 13:50:25,331 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-HANAHARPER/status
INFO 2026-04-05 13:50:25,345 mqtt_handler Created device: ESP32-FARM-001-HANAHARPER with status offline
INFO 2026-04-05 13:50:25,346 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-ATTASIT/status
INFO 2026-04-05 13:50:25,359 mqtt_handler Created device: ESP32-FARM-001-ATTASIT with status offline
INFO 2026-04-05 13:50:25,360 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-methee/status
INFO 2026-04-05 13:50:25,366 mqtt_handler Created device: ESP32-FARM-001-methee with status offline
INFO 2026-04-05 13:50:25,367 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-chonmapat/status
INFO 2026-04-05 13:50:25,373 mqtt_handler Created device: ESP32-FARM-001-chonmapat with status offline
INFO 2026-04-05 13:50:25,373 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-SUWAN-LAR/status
INFO 2026-04-05 13:50:25,380 mqtt_handler Created device: ESP32-FARM-001-SUWAN-LAR with status offline
INFO 2026-04-05 13:50:25,380 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001/status
INFO 2026-04-05 13:50:25,387 mqtt_handler Created device: ESP32-FARM-001 with status offline
INFO 2026-04-05 13:50:25,387 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-WEERADEJ/status
INFO 2026-04-05 13:50:25,393 mqtt_handler Created device: ESP32-FARM-WEERADEJ with status offline
INFO 2026-04-05 13:50:25,394 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/status
INFO 2026-04-05 13:50:25,400 mqtt_handler Created device: ESP32-FARM-001-NATTAPHOL-PALM with status online
INFO 2026-04-05 13:50:26,521 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:50:26,534 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:50:31,516 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:50:31,544 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:50:36,519 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:50:36,536 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:50:41,529 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:50:41,548 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:50:41,766 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/status
INFO 2026-04-05 13:50:41,776 mqtt_handler Updated device: ESP32-FARM-001-NATTAPHOL-PALM with status online
INFO 2026-04-05 13:50:46,552 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:50:46,569 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:50:51,528 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:50:51,618 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:50:56,528 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:50:56,551 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:51:01,520 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:51:01,562 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:51:06,524 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:51:06,537 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:51:11,519 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:51:11,557 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:51:11,763 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/status
INFO 2026-04-05 13:51:11,791 mqtt_handler Updated device: ESP32-FARM-001-NATTAPHOL-PALM with status online
INFO 2026-04-05 13:51:16,521 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:51:16,545 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:51:21,517 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:51:21,547 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:51:26,518 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:51:26,538 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:51:31,525 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:51:31,554 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:51:36,533 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:51:36,548 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:51:41,522 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:51:41,550 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:51:41,765 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/status
INFO 2026-04-05 13:51:41,772 mqtt_handler Updated device: ESP32-FARM-001-NATTAPHOL-PALM with status online
INFO 2026-04-05 13:51:46,519 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:51:46,560 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:51:51,529 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:51:51,567 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:51:56,550 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:51:56,575 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:52:01,529 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:52:01,556 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:52:06,522 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:52:06,556 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:52:11,525 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:52:11,560 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:52:11,773 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/status
INFO 2026-04-05 13:52:11,783 mqtt_handler Updated device: ESP32-FARM-001-NATTAPHOL-PALM with status online
INFO 2026-04-05 13:52:16,525 mqtt_handler Received message on topic: smartfarm/ESP32-FARM-001-NATTAPHOL-PALM/telemetry
INFO 2026-04-05 13:52:16,560 mqtt_handler Created telemetry log for ESP32-FARM-001-NATTAPHOL-PALM
INFO 2026-04-05 13:52:19,005 autoreload D:\GitAGThaiTechZone\myAPP-Django-AIOTs\myproject\settings.py changed, reloading.
